Product,Rating,Rating Count,Price,Url
"Office Chair, Ergonomic Mesh Home Office Computer Chair with Lumbar Support/Adjustable Headrest/Armrest and Wheels/Mesh High Back/Swivel Rolling (Black)  ",4.3 out of 5 stars,"1,001  ",$83.99,http://amazon.com/Office-Chair-Ergonomic-Mesh-Adjustable/dp/B09C629LRY/ref=sr_1_2?keywords=home+office&qid=1660426771&sr=8-2
"Wood File Cabinet, 3 Drawer Mobile Lateral Filing Cabinet On Wheels, Printer Stand with Open Storage Shelves for Home Office(White)  ",4.0 out of 5 stars,204  ,$125.99,http://amazon.com/Cabinet-Lateral-Printer-Storage-Shelves/dp/B09GB6RSNJ/ref=sr_1_3?keywords=home+office&qid=1660426771&sr=8-3
"bonsaii Paper Shredder for Home Use,6-Sheet Crosscut Paper and Credit Card Shredder for Home Office,Home Shredder with Handle for Document,Mail,Staple,Clip-3.4 Gal Wastebasket(C237-B)  ",4.5 out of 5 stars,"23,400  ",$30.99,http://amazon.com/bonsaii-Paper-Shredder-6-Sheet-Crosscut-Paper-Design-Home-Shredder-Clip-3-4-Gal-Wastebasket-C237-B/dp/B0834J2SVR/ref=sr_1_4?keywords=home+office&qid=1660426771&sr=8-4
"HUANUO Lap Laptop Desk - Portable Lap Desk with Pillow Cushion, Fits up to 15.6 inch Laptop, with Anti-Slip Strip & Storage Function for Home Office Students Use as Computer Laptop Stand, Book Tablet  ",4.6 out of 5 stars,"9,138  ",$37.99,http://amazon.com/HUANUO-Lap-Laptop-Desk-Anti-Slip/dp/B07W7SZJ25/ref=sr_1_5?keywords=home+office&qid=1660426771&sr=8-5
"YSAGi Multifunctional Office Desk Pad, Ultra Thin Waterproof PU Leather Mouse Pad, Dual Use Desk Writing Mat for Office/Home (31.5"" x 15.7"", Pistachio Green + Green Blue)  ",4.7 out of 5 stars,"36,097  ",$13.99,http://amazon.com/YSAGi-Multifunctional-Waterproof-Leather-Pistachio/dp/B08BZD7CSQ/ref=sr_1_6?keywords=home+office&qid=1660426771&sr=8-6
"Desk Lamp with Wireless Charger - Eye-Caring Reading lamp with Adjustable Lighting Modes, Touch Control, Table Lamp with Flexible Gooseneck, Perfect Desk Lights for Home Office - Black  ",3.9 out of 5 stars,31  ,$26.99,http://amazon.com/Desk-Lamp-Wireless-Charger-Eye-Caring/dp/B09QGQ3Q5H/ref=sr_1_7?keywords=home+office&qid=1660426771&sr=8-7
Marbrasse 4-Trays Desktop File Organizer with Pen Holder | Paper Letter Tray with Drawer and 2 Pen Holder | Mesh Office Supplies Desk Organizer for Home Office (Black)  ,4.5 out of 5 stars,"2,417  ",$32.99,http://amazon.com/Marbrasse-4-Trays-Desktop-Organizer-Supplies/dp/B08FM9ZD2M/ref=sr_1_8?keywords=home+office&qid=1660426771&sr=8-8
"INCHOR Cord Organizer, Cable Clips Cord Holder, Cable Management USB Cable Power Wire Cord Clips, 2 Packs Cable Organizers for Car Home and Office (5, 3 Slots)  ",4.6 out of 5 stars,4.6 out of 5 stars ,$6.55,http://amazon.com/Adhesive-Organizer-Management-Holder-Organizers/dp/B087TH1R6T/ref=sr_1_9?keywords=home+office&qid=1660426771&sr=8-9
"Everlasting Comfort Office Foot Rest for Under Desk - Ergonomic Memory Foam Foot Stool Pillow for Work, Gaming, Computer, Office Cubicle and Home - Footrest Leg Cushion Accessories (Black)  ",4.6 out of 5 stars,"21,449  ",$29.95,http://amazon.com/Foot-Rest-Under-Desk-Footstool/dp/B07PGLBCFG/ref=sr_1_10?keywords=home+office&qid=1660426771&sr=8-10
ComfiLife Foot Rest for Under Desk at Work – Adjustable Memory Foam Foot Rest for Office Chair & Gaming Chair – Ergonomic Design for Back & Hip Pain Relief (Black)  ,4.6 out of 5 stars,"7,546  ",$44.95,http://amazon.com/ComfiLife-Premium-Foot-Rest-Under/dp/B08DHMMBFF/ref=sr_1_11?keywords=home+office&qid=1660426771&sr=8-11
