Product,Rating,Rating Count,Price,Url
PS5 Vertical Stand Cooling Fan Charging Station with 3 USB HUB for Playstation 5 Controller Indicator Lamps Console Station and Dual PS5 Joystick Charging Dock Accessories 16 Game Storage  ,4.4 out of 5 stars,14  ,$19.99,http://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0195736ND1B87U2LUGL&url=%2FVertical-Playstation-Controller-Indicator-Accessories-5%2Fdp%2FB09JW767JB%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dps5%26qid%3D1660426937%26sr%3D8-1-spons%26psc%3D1&qualifier=1660426937&id=671703078517286&widgetName=sp_atf
"NUBWO G06 Wireless Gaming Headset with Microphone for PS5, PS4, PC, Mac, 3-in-1 Gamer Headphones with Mic, 2.4GHz Wireless for Playstation Console, Bluetooth Mode for Switch, Wired Mode for Controller  ",4.3 out of 5 stars,"5,153  ",$39.99,http://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09583853IVNPY92WSMUI&url=%2FMicrophone-PC-Headphones-Playstation-Bluetooth-Controller%2Fdp%2FB08TBF4S42%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dps5%26qid%3D1660426937%26sr%3D8-2-spons%26psc%3D1&qualifier=1660426937&id=671703078517286&widgetName=sp_atf
PlayStation DualSense Wireless Controller – Galactic Purple  ,4.8 out of 5 stars,"57,855  ",$74.00,http://amazon.com/PlayStation-DualSense-Wireless-Controller-Galactic-5/dp/B09RBZ134K/ref=sr_1_4?keywords=ps5&qid=1660426937&sr=8-4
PlayStation 5 DualSense Wireless Controller  ,4.7 out of 5 stars,"31,859  ",$69.99,http://amazon.com/PlayStation-5-DualSense-Wireless-Controller/dp/B08H99BPJN/ref=sr_1_5?keywords=ps5&qid=1660426937&sr=8-5
Horizon Forbidden West Launch Edition - PlayStation 5 - PlayStation 5  ,4.8 out of 5 stars,"2,158  ",$49.99,http://amazon.com/Horizon-Forbidden-West-Launch-PlayStation-5/dp/B09FBL24D5/ref=sr_1_6?keywords=ps5&qid=1660426937&sr=8-6
Control Inalámbrico PS5 DualSense Midnight Black  ,4.8 out of 5 stars,"2,546  ",$74.00,http://amazon.com/Control-Inal%C3%A1mbrico-PS5-DualSense-Midnight-Black/dp/B0956PFTDK/ref=sr_1_7?keywords=ps5&qid=1660426937&sr=8-7
"PS5 Stand and Cooling Station with Dual Controller Charging Station for Playstation 5 Console, PS5 Accessories Incl. Controller Charger, Cooling fan, Headset holder, 3 USB Hub, Media Slot, Screw White  ",4.4 out of 5 stars,175  ,$39.99,http://amazon.com/Cooling-Controller-Charging-Playstation-Accessories/dp/B09QGK2LW3/ref=sr_1_8?keywords=ps5&qid=1660426937&sr=8-8
Control Inalámbrico PS5 DualSense Cosmic Red  ,4.8 out of 5 stars,"2,141  ",$74.00,http://amazon.com/Control-Inal%C3%A1mbrico-PS5-DualSense-Cosmic-Red/dp/B0956MH6PV/ref=sr_1_9?keywords=ps5&qid=1660426937&sr=8-9
Playstation DualSense Charging Station  ,4.9 out of 5 stars,"10,821  ",$29.00,http://amazon.com/DualSense-Charging-Station-PlayStation-5/dp/B08FC6Y4VG/ref=sr_1_10?keywords=ps5&qid=1660426937&sr=8-10
Demon Slayer: The Hinokami Chronicles - PlayStation 5  ,4.8 out of 5 stars,"1,222  ",$39.99,http://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0722940ALNMUGBZPJFJ&url=%2FDemon-Slayer-Hinokami-Chronicles-PlayStation-5%2Fdp%2FB097VH5CJN%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dps5%26qid%3D1660426937%26sr%3D8-12-spons%26psc%3D1&qualifier=1660426937&id=671703078517286&widgetName=sp_mtf
Ghost of Tsushima Director's Cut - PlayStation 5  ,4.8 out of 5 stars,"1,896  ",$49.99,http://amazon.com/Ghost-Tsushima-Directors-Cut-PlayStation-5/dp/B098G34GBT/ref=sr_1_14?keywords=ps5&qid=1660426937&sr=8-14
PlayStation PULSE 3D Wireless Headset  ,4.7 out of 5 stars,"16,579  ",$99.00,http://amazon.com/PULSE-3D-Wireless-Headset-PlayStation-5/dp/B08FC6QLKN/ref=sr_1_16?keywords=ps5&qid=1660426937&sr=8-16
"Wall Mount for PS5 Playstation 5 Disc Edition and Digital Edition (Mounts The Console on Wall Near or Behind TV with Invisible Design), Including 2 Accessory Holders for Controller & Headset (Black)  ",4.8 out of 5 stars,842  ,$29.99,http://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03527093DEXU6MV4ORV6&url=%2FPlaystation-Invisible-Including-Accessory-Controller%2Fdp%2FB08VW55CSZ%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dps5%26qid%3D1660426937%26sr%3D8-17-spons%26psc%3D1&qualifier=1660426937&id=671703078517286&widgetName=sp_mtf
PlayStation PULSE 3D Wireless Headset – Midnight Black  ,4.7 out of 5 stars,"16,579  ",$96.00,http://amazon.com/PlayStation-PULSE-3D-Wireless-Headset-5/dp/B09GBVLRLP/ref=sr_1_18?keywords=ps5&qid=1660426937&sr=8-18
"NexiGo PS5 Accessories Silent Cooling Stand with Headset Holder and AC Adapter, for PS5 Disc & Digital Editions Dual Controllers Charger, 3 Levels Adjustable Fans Speed, 10 Game Rack Organizer, White  ",4.5 out of 5 stars,"2,400  ",$39.99,http://amazon.com/NexiGo-PS5-Accessories-Controllers-Adjustable/dp/B092H73XMW/ref=sr_1_20?keywords=ps5&qid=1660426937&sr=8-20
